Title,Rating,Academy Awards,Actors,Categories,Detailed_Release,Directors,Dist,Distributor Long Name,Year(DVD/Video Release Date),Golden Globes,Language,Producers,Production Companies,Quarter(Release Date),Sound Formats,Visual Formats,Writers,Total Cume,Total DVD/Video Release Window,Total Locs At Opening,Total Locs At Widest Release,Total Opening 7 Day Gross,Total Opening Day Gross,Total Opening Wknd Avg,Total Opening Wknd Gross,Total Opening Wknd Locs,Total Run Time
daddy's home,pg13,,"alessandra ambrosio, cedric yarbrough, hannibal buress, jamie denbo, linda cardellini, mark wahlberg, paul scheer, thomas haden church, will ferrell",comedy,12/25/2015,"john morris, sean anders",par,paramount,2016,,english,"chris henchy, john morris, will ferrell",red granite pictures,Q4 2015,"dolby sr, dolby srd",flat,"adam mckay, brian burns, chris henchy, etan cohen","150,357,137",88,"3,271","3,483","64,684,278","15,709,618","11,844","38,740,203","3,271",96
we are still here,nr,,"andrew sensenig, barbara crampton, larry fessenden, lisa marie, monte markham, susan gibney",horror,5/15/2015,ted geoghegan,dksky,dark sky films,2015,,english,travis stevens,,Q2 2015,,scope,ted geoghegan,0,144,0,0,0,0,0,0,0,84
"diary of a teenage girl, the",r,,"abby wait, alexander skarsgard, bel powley, christopher meloni, kristen wiig, madeleine waters, margarita levieva, quinn nagle",drama,8/7/2015,marielle heller,spc,sony pictures classics,2016,,english,"anne carey, bert hamelinck, miranda bailey","archer gray productions, caviar films, cold iron pictures",Q3 2015,,scope,marielle heller,"1,477,206",165,4,795,"82,394",0,"13,084","52,334",4,102
slamma jamma,pg,,chris staples,drama,3/24/2017,timothy a. chey,rvr,riverrain,2017,,english,timothy a. chey,,Q1 2017,,,timothy a. chey,0,228,0,0,0,0,0,0,0,104
"cove, the",pg13,best documentary,"isabel lucas, ric o'barry",documentary,7/31/2009,louie psihoyos,rsa,roadside attractions,2009,,english,"fisher stevens, paula dupre pesman",participant media,Q3 2009,dolby srd,flat,mark monroe,"869,730",130,4,57,"82,330","20,458","14,410","57,640",4,96
met opera: norma (2017),nr,,,special events,10/07/2017 (sat),"david mcvicar, event director",fthm,fathom events,,,italian,,,Q4 2017,,,,"1,500,000",0,900,900,"1,500,000",0,"1,667","1,500,000",900,210
"great buck howard, the",pg,,"adam scott, b.j. hendricks, colin hanks, emily blunt, john malkovich, matthew gray gubler, steve zahn, tom hanks","comedy, drama",3/20/2009,sean mcginly,mag,magnolia pictures,2009,,english,"gary goetzman, tom hanks","bristol bay productions, playtone",Q1 2009,dolby srd,flat,sean mcginly,"750,587",123,55,76,"162,376",0,"2,091","115,004",55,90
berdella,nr,,"seth correa, steve williams",horror,9/25/2009,"paul south, william taft",ind,independent,,,english,,,Q3 2009,,,,0,0,0,0,0,0,0,0,0,0
louder than a bomb,nr,,,documentary,05/18/2011 (wed),"greg jacobs, john siskel",balc,balcony releasing,,,english,,,Q2 2011,stereo,digital,,"40,362",0,1,4,"4,331",0,"2,300","2,300",1,99
"lebanon, pa",pg13,,"josh hopkins, mary beth hurt, samantha morton","comedy, drama",4/29/2011,ben hickernell,ti,truly indie,2011,,english,"ben hickernell, charles smith, jason contino",,Q2 2011,dolby sr,digital,,"48,381",60,2,6,"8,307",0,"3,338","6,675",2,100
kissing cousins,nr,,"rachael c. smith, rebecca hazlewood, samrat chakrabarti",comedy,4/24/2009,amyn kaderali,ind,independent,,,english,"amyn kaderali, manish goyal",,Q2 2009,,,amyn kaderali,0,0,0,0,0,0,0,0,0,0
lincoln,pg13,"best actor, best art direction","=""adam driver, bruce mcgill, daniel day-lewis, david strathairn, gulliver mcgrath, hal holbrook, jackie earle haley, james spader, jared harris, john hawkes, joseph cross, joseph gordon-levitt, julie white, lee pace, michael stuhlbarg, sally field, tim bl",drama,11/9/2012,steven spielberg,dis,disney,2013,best actor - drama,english,"kathleen kennedy, steven spielberg","amblin entertainment, dreamworks skg, parkes/macdonald productions",Q4 2012,quad,scope,"john logan, paul webb, tony kushner","182,207,973",109,11,"2,293","1,418,836","268,131","85,846","944,308",11,150
"amazing nina simone, the",nr,,"eric burdon, marie christine dunham-pratt, nikki giovanni, nina simone, sam waymon",documentary,10/16/2015,jeff l. lieberman,ind,independent,,,english,jeff l. lieberman,,Q4 2015,,,jeff l. lieberman,0,0,2,20,0,0,0,0,2,108
tcm presents the king and i (1956),nr,,,special events,08/28/2016 (sun),walter lang,fthm,fathom events,,,english,,,Q3 2016,,,,0,0,0,0,0,0,0,0,0,145
orchestra of exiles,nr,,,documentary,10/26/2012,josh aronson,fsr,first run,2013,,english,,,Q4 2012,stereo,digital,josh aronson,"34,577",165,1,5,"6,719",0,"6,719","6,719",1,85
becks,nr,,"christine lahti, dan fogler, lena hall, mena suvari, natalie gold, sas goldberg, wally dunn","drama, musical, romance",2/9/2018,"daniel powell, elizabeth rohrbaugh",ind,independent,,,english,"alex ramseyer-bache, daniel powell, elizabeth rohrbaugh",,Q1 2018,,,"daniel powell, elizabeth rohrbaugh",0,0,0,0,0,0,0,0,0,90
callback (2008),nr,,"jeffrey vincent parise, jennifer hall, johnny moreno, kate orsini, michael degood",comedy,9/26/2008,eric m. wolfson,ind,independent,,,english,"eric m. wolfson, jason mandl",,Q3 2008,,,"eric m. wolfson, michael degood",0,0,1,1,0,0,0,0,1,96
sex magic,nr,,,documentary,11/12/2010,"eric liebman, jonathan schell",ifc,ifc films,,,english,eric liebman,,Q4 2010,,,,0,0,0,0,0,0,0,0,0,80
descent (2007),nr,,"chad faust, chuck ardezzone, marcus patrick, rosario dawson, scott porter, sergia louise anderson, vanessa ferlito","drama, suspense",8/10/2007,talia lugacy,clpr,city lights pictures releasing,2008,,english,michael almog,,Q3 2007,,,"brian priest, talia lugacy","15,233",179,2,2,"11,772",0,"4,206","8,411",2,110
boy meets girl,nr,,"alexandra turshen, christopher mchale, joseph ricci, michael galante, michael welch, michelle hendley, randall newsome","comedy, drama",2/6/2015,eric schaeffer,ind,independent,2015,,english,"edward aitken, eric schaeffer, gail pugliese",,Q1 2015,dolby sr,flat,eric schaeffer,"20,441",81,1,4,"6,649",0,"5,306","5,306",1,95
"music of strangers, the",pg13,,"cristina pato, kayhan kalhor, kinan azmeh, wu man, yo-yo ma",documentary,6/10/2016,morgan neville,orch,the orchard,,,english,"caitrin rogers, morgan neville",,Q2 2016,dolby srd,"digital, flat",morgan neville,"1,165,071",0,3,82,"37,363","6,379","8,204","24,612",3,96
precious life,,,,documentary,unset,shlomi eldar,oth,other,,,english,,,,,flat,,0,0,0,0,0,0,0,0,0,0
no escape,r,,"lake bell, owen wilson, pierce brosnan, sterling jerins","suspense, action",08/26/2015 (wed),john erick dowdle,twc,the weinstein company,2015,,english,"david lancaster, drew dowdle, michael litvak","bold films, brothers dowdle productions",Q3 2015,dolby srd,flat,"drew dowdle, john erick dowdle","27,288,872",90,"3,007","3,415","10,940,219","1,179,112","2,418","8,111,264","3,355",103
end of watch,r,,"america ferrera, anna kendrick, david harbour, frank grillo, jaime fitzsimons, jake gyllenhaal, michael pena, natalie martinez","action, suspense",9/21/2012,david ayer,oprd,open road,2013,,english,"david ayer, george furla, john lesher, mike gunther, randall emmett","crave films, emmett/furla films, envision entertainment corporation, grisbi productions",Q3 2012,,,david ayer,"41,013,371",123,"2,730","2,780","18,168,633","4,603,191","4,818","13,152,683","2,730",109
generational sins,pg13,,"barrett donner, bill farmer, daniel macpherson, dax spanogle, kristin jezek, leesa folmar, nick coble",drama,10/6/2017,spencer t. folmar,esmp,entertainment studios motion pictures,,,english,"spencer t. folmar, thurman mason",third brother films,Q4 2017,dolby srd,scope,spencer t. folmar,0,0,10,10,0,0,0,0,10,90
freezer,r,,"andrey ivchenko, david mcnally (i), dylan mcdermott, milan malisic, pascal petardi, peter facinelli, yuliya snigir","action, suspense",1/17/2014,mikael salomon,anchr/free,anchor bay films/freestyle releasing,2014,,english,"david buelow, lee nelson, lisa byrne, peter filardi, rhonda baker",,Q1 2014,,scope,"shane weisfeld, tom doganoglu",0,4,0,0,0,0,0,0,0,82
"lust, caution",nc17,,"joan chen, lee-hom wang, tony leung, wei tang","drama, foreign, romance, suspense, war",9/28/2007,ang lee,foc,focus features,2008,,chinese,,,Q3 2007,"dts, dolby sr, dolby srd",flat,hui-ling wang,"4,604,982",144,1,143,"108,350","18,925","63,918","63,918",1,157
"road within, the",r,,"ali hillis, dev patel, eric matheny, kyra sedgwick, matt riedy, robert patrick, robert sheehan, zoe kravitz","comedy, drama",4/17/2015,gren wells,wlgo,"well go usa, inc.",2015,,english,,,Q2 2015,dolby srd,flat,,0,81,0,0,0,0,0,0,0,101
marina abramovic: the artist is present,nr,,,"documentary, foreign",06/13/2012 (wed),matthew akers,music,music box films,2012,,english,"jeff dupre, maro chermayeff",,Q2 2012,,,,"86,637",125,1,4,"22,638",0,"5,520","11,041",2,106
absolution (dir. waxman),r,,"adina stetcu, byron mann, josh barnett, massimo dobrovic, steven seagal, vinnie jones","action, foreign",5/15/2015,keoni waxman,tfa,the film arcade,2015,,english,"phillip b. goldfine, timothy marlowe",,Q2 2015,dolby srd,flat,"keoni waxman, richard beattie",0,53,0,0,0,0,0,0,0,96
battle for terra,pg,,"amanda peet, brian cox, chris evans, david cross, dennis quaid, evan rachel wood, james garner, justin long, luke wilson","animation, adventure",5/1/2009,aristomenis tsirbas,rsa,roadside attractions,2009,,english,"dane allan smith, jessica wu, keith calder, ryan colucci",snoot entertainment,Q2 2009,quad,"3d, scope",evan spiliotopoulos,"1,647,083",144,"1,159","1,159","1,343,997","252,579",934,"1,082,064","1,159",85
"killing jar, the",nr,,"amber benson, danny trejo, harold perrineau, kevin gage, michael madsen","suspense, drama",3/19/2010,mark young,newf,new films cinema,2011,,english,,,Q1 2010,dolby sr,flat,mark young,0,340,5,5,0,0,0,0,5,93
welcome to willits,nr,,"anastasia baranova, bill sage, chris zylka","horror, science fiction",9/22/2017,trevor ryan,ind,independent,2018,,english,"jon keeyes, jordan yale levine, scott levenson, shaun s. sanghani",,Q3 2017,,,tim ryan,0,137,0,0,0,0,0,0,0,82
refuge (2014),nr,,"brian geraghty, krysten ritter, logan huffman","drama, family",3/28/2014,jessica goldberg,snd,strand releasing,2014,,english,"austin stark, chris papavasiliou, dallas sonnier, gary cogill, jack heller, james calleri, jason dolan",,Q1 2014,dolby sr,flat,jessica goldberg,"2,631",165,1,1,"1,758",0,"1,274","1,274",1,84
"live fast, die young",nr,,"eric feliciano, joleigh fioreavanti, tammy felice",drama,10/24/2008,timothy a. chey,rvr,riverrain,,,english,timothy a. chey,,Q4 2008,dolby srd,,timothy a. chey,"16,750",0,1,1,"9,841",0,"9,841","9,841",1,103
20th century women,r,,"alia shawkat, annette bening, billy crudup, elle fanning, greta gerwig","comedy, drama",12/28/2016 (wed),mike mills,a24,a24,2017,,english,"anne carey, megan ellison, youree henley",,Q4 2016,,flat,mike mills,"5,664,764",90,4,650,"185,212","40,296","27,800","111,200",4,118
"nice guys, the",r,,"hannibal buress, kim basinger, margaret qualley, matt bomer, russell crowe, ryan gosling, ty simpkins, yaya dacosta","action, comedy",5/20/2016,shane black,wb,warner bros.,2016,,english,joel silver,silver pictures,Q2 2016,quad,scope,"anthony bagarozzi, shane black","36,261,763",95,"2,865","2,865","15,363,672","3,894,992","3,910","11,203,270","2,865",116
sake-bomb,nr,,"chrissie fit, dat phan, eugene kim, gaku hamada, jenn liu, jessika van, josh brodis, mariane barnes, mary carey, samantha quan",comedy,11/8/2013,junya sakino,ind,independent,2014,,english,"hiromitsu senoo, junya sakino",,Q4 2013,dolby srd,digital,jeff mizushima,0,74,1,1,0,0,0,0,1,82
amanda & jack go glamping,nr,,"adan canto, amy acker, david arquette, june squibb","comedy, drama, romance",11/10/2017,brandon dickerson,ori,orion pictures,,,english,"brandon dickerson, cathleen sutherland, susan kirr",,Q4 2017,,,brandon dickerson,0,0,12,12,"3,352",0,0,0,12,94
windfall,nr,,,documentary,2/3/2012,laura israel,fsr,first run,2012,,english,"autumn tarleton, laura israel",,Q1 2012,,digital,,"6,504",102,1,2,"2,379",0,"1,780","1,780",1,83
jason bourne,pg13,,"alicia vikander, ato essandoh, julia stiles, matt damon, riz ahmed, scott shepherd, tommy lee jones, vincent cassel","action, adventure, foreign",7/29/2016,paul greengrass,uni,universal,2016,,english,"ben smith, frank marshall, gregory goodman, jeffrey m. weiner, matt damon, paul greengrass","captivate entertainment, kennedy/marshall company, the, pearl street films",Q3 2016,quad,"imax, scope","christopher rouse, matt damon, paul greengrass","162,434,410",130,"4,026","4,039","80,706,020","22,611,225","14,708","59,215,365","4,026",123
forgetting the girl,nr,,"anna camp, caitlin carmichael, chandler frantz, christopher denham, elizabeth rice, holley fain, joel de la fuente, lindsay beamish, paul sparks, phyllis somerville","drama, suspense",10/11/2013,nate taylor,ind,independent,2014,,english,"brian gonsar, camiren j. romero, nate taylor, victor c. reyes",,Q4 2013,,,peter moore smith,0,172,2,2,0,0,0,0,2,85
love and air sex,nr,,"ashley bell, zach cregger",comedy,2/7/2014,bryan poyser,trbca,tribeca film,,,english,,,Q1 2014,,,,"6,047",0,1,1,"1,556",0,0,0,1,95
first they killed my father: a daughter,nr,,sareum srey moch,drama,9/15/2017,angelina jolie,ind,independent,,,english,"angelina jolie, rithy panh",jolie pas,Q3 2017,,,"angelina jolie, loung ung",0,0,0,0,0,0,0,0,0,136
to catch a dollar: muhammad yunus banks,nr,,muhammad yunus,documentary,03/31/2011 (thu),gayle ferraro,a23,area23a,,,english,,,Q1 2011,,,,0,0,0,0,0,0,0,0,0,115
dream boy,r,,"diana scarwid, maximillian roeg, michele adams, owen beckman, randy wayne, rooney mara, stephan bender, thomas jay ryan",drama,3/26/2010,james bolton,rgnt,regent releasing,2010,,english,james bolton,,Q1 2010,stereo,flat,"james bolton, jim grimsley","6,534",137,1,1,"3,672",0,"2,243","2,243",1,90
take me home tonight,r,,"anna faris, chris pratt, dan fogler, lucy punch, michael biehn, michelle trachtenberg, nathalie kelley, robert hoffman, teresa palmer, topher grace","comedy, drama",3/4/2011,michael dowse,rel,relativity media,2011,,english,brian grazer,imagine entertainment,Q1 2011,quad,scope,"jackie filgo, jeff filgo","6,928,068",137,"2,003","2,003","4,618,853","1,250,836","1,730","3,464,679","2,003",98
gangster squad,r,,"anthony mackie, emma stone, giovanni ribisi, josh brolin, josh pence, mireille enos, nick nolte, robert patrick, ryan gosling, sean penn","drama, action, crime",1/11/2013,ruben fleischer,wb,warner bros.,2013,,english,"dan lin, kevin mccormick, michael tadross","langley park pictures, lin pictures, village roadshow pictures",Q1 2013,quad,scope,will beall,"46,000,903",102,"3,103","3,103","23,110,060","6,714,883","5,501","17,070,347","3,103",113
cuba and the cameraman,nr,,,documentary,11/24/2017,jon alpert,ind,independent,,,english,,,Q4 2017,,,jon alpert,0,0,0,0,0,0,0,0,0,113
mr. popper's penguins,pg,,"andrew stewart-jones, angela lansbury, carla gugino, jim carrey, maxwell perry cotton, ophelia lovibond, philip baker hall","comedy, family",6/17/2011,mark waters,fox,20th century fox,2011,,english,john a davis,davis entertainment,Q2 2011,quad,flat,"jared stern, john morris, sean anders","68,224,452",172,"3,339","3,342","29,147,679","6,369,445","5,524","18,445,355","3,339",97
how to train your dragon 2,pg,,"america ferrera, cate blanchett, christopher mintz-plasse, craig ferguson, djimon hounsou, gerard butler, jay baruchel, jonah hill, kit harington, kristen wiig, t.j. miller","animation, action, adventure, comedy",6/13/2014,dean deblois,fox,20th century fox,2014,,english,bonnie arnold,dreamworks animation,Q2 2014,quad,"3d, imax",dean deblois,"177,002,924",151,"4,253","4,268","69,876,735","18,440,040","11,627","49,451,322","4,253",102
west of brooklyn,nr,,"joe mantegna, natalia livingston, ronnie marmo","comedy, drama",09/09/2009 (wed),danny cistone,ind,independent,,,english,ronnie marmo,,Q3 2009,,,ronnie marmo,0,0,0,0,0,0,0,0,0,0
america the beautiful 3,nr,,,documentary,10/17/2014,darryl roberts,ind,independent,,,english,,,Q4 2014,,,,0,0,0,0,0,0,0,0,0,100
angelica,nr,,"ed stoppard, janet mcteer, jena malone, tovah feldshuh",drama,11/17/2017,mitchell lichtenstein,esmp,entertainment studios motion pictures,,,english,"joyce pierpoline, mitchell lichtenstein",,Q4 2017,dolby srd,flat,mitchell lichtenstein,0,0,10,10,0,0,0,0,10,98
jupiter ascending,pg13,,"channing tatum, doona bae, douglas booth, eddie redmayne, james d'arcy, jeremy swift, jo osmond, kick gurry, mila kunis, nikki amuka-bird, sean bean, spencer wilding, terry gilliam, tim pigott-smith, tuppence middleton, vanessa kirby","action, adventure, fantasy, foreign, science fiction",2/6/2015,"lana wachowski, lilly wachowski",wb,warner bros.,2015,,english,"lana wachowski, lilly wachowski",village roadshow pictures,Q1 2015,quad,"3d, imax, scope","lana wachowski, lilly wachowski","47,387,723",116,"3,181","3,181","23,121,146","6,334,002","5,776","18,372,372","3,181",127
"preppie connection, the",r,,"lucy fry, sam page, thomas mann",drama,3/18/2016,joseph castelo,ifc,ifc films,2016,,english,,,Q1 2016,dolby srd,scope,,"7,138",116,2,2,"7,138",0,"2,788","5,576",2,98
rafea: solar mama,,,,documentary,,"jehane noujaim, mona eldaief",oth,other,,,english,,,,,,,0,0,0,0,0,0,0,0,0,0
winchester,pg13,,"angus sampson, helen mirren, jason clarke, sarah snook",suspense,2/2/2018,"michael spierig, peter spierig",lgf,lionsgate,2018,,english,"brett tomberlin, tim mcgahan","blacklab entertainment, bullitt entertainment, diamond pictures",Q1 2018,dolby srd,scope,"michael spierig, peter spierig, tom vaughan","25,091,816",88,"2,480","2,480","12,127,358","3,622,125","3,753","9,307,626","2,480",99
finding joe,nr,,,documentary,9/30/2011,patrick takaya solomon,balc,balcony releasing,,,english,,,Q3 2011,stereo,flat,,"55,518",0,1,7,"11,528",0,"8,753","8,753",1,80
es el chapo?,nr,,,documentary,8/22/2014,charlie minn,ind,independent,,,english,,,Q3 2014,,,,0,0,0,0,0,0,0,0,0,0
wonderstruck,pg,,"amy hargreaves, cory michael smith, damian young, ekaterina samsonov, jaden michael, james urbaniak, julianne moore, marko caka, michelle williams, morgan turner, oakes fegley, tom noonan",drama,10/20/2017,todd haynes,rsa,roadside attractions,,,english,"christine vachon, john sloss, pamela koffler","cinetic media, killer content",Q4 2017,dolby srd,scope,brian selznick,"1,033,632",0,4,261,"87,114","24,578","16,470","65,882",4,117
"people vs. george lucas, the",nr,,,documentary,11/18/2010 (thu),alexandre o. philippe,kns,kinosmith,,,english,,,Q4 2010,,digital,,0,0,0,0,0,0,0,0,0,93
shakespeare wallah,nr,,"felicity kendal, geoffrey kendal, shashi kapoor",drama,11/10/2017,james ivory,cmg,cohen media group,2004,,english,ismail merchant,merchand/ivory productions,Q4 2017,mono,flat,ruth prawer jhabvala,"3,378","-4,945",1,1,"4,650",0,"3,378","3,378",1,120
joy road,r,,"carol angela davis, jamie hector, roger guenveur smith, wood harris",drama,10/21/2011,,ind,independent,,,english,,,Q4 2011,,,harry a. davis,0,0,0,0,0,0,0,0,0,88
"queen of versailles, the",pg,,,documentary,7/20/2012,lauren greenfield,mag,magnolia pictures,2012,,english,,,Q3 2012,dolby sr,flat,,"2,401,999",116,3,96,"85,097",0,"17,109","51,326",3,100
cthulhu,r,,"cara buono, jason cottle, robert padilla, scott patrick green, tori spelling","drama, horror",8/22/2008,dan gildark,rgnt,regent releasing,2009,,english,"alexis ferris, jeffrey brown","arkham northwest productions, cascadia film collective",Q3 2008,stereo,flat,,"15,213",221,1,3,"2,718",0,"1,438","1,438",1,109
n-secure,r,,"denise boutte, elise neal, essence atkins, lamman rucker, tempestt bledsoe",drama,10/15/2010,david m. matthews,free,freestyle releasing,2011,,english,,,Q4 2010,,"digital, flat","christie  taylor, julius lewis","2,595,644",242,486,486,"1,413,381","422,879","2,400","1,166,406",486,109
match (2015),r,,"carla gugino, matthew lillard, patrick stewart",drama,01/14/2015 (wed),stephen belber,ifc,ifc films,2015,,english,"david permut, matt ratner, rick rosenthal","permut presentations, whitewater films",Q1 2015,dolby srd,scope,stephen belber,"37,825",209,3,9,"8,877",0,0,0,3,94
redemption (2012),pg,,"barry corbin, david stevens, edward herrmann, john freeman, jon gries, larry thomas, margot kidder, rance howard",western,4/6/2012,thomas russell,pur,purdie distribution,,,english,"asia stryker, courtney russell, james alexander mackie",,Q2 2012,dolby sr,scope,thomas russell,0,0,11,11,0,0,0,0,11,105
how to be single,r,,"alison brie, anders holm, dakota johnson, damon wayans jr., jake lacy, jason mantzoukas, leslie mann, nicholas braun, rebel wilson",comedy,2/12/2016,christian ditter,wb,warner bros.,2016,,english,"dana fox, drew barrymore, john rickard, nancy juvonen","flower films, new line cinema",Q1 2016,quad,scope,"abby kohn, dana fox, marc silverstein","46,843,513",102,"3,343","3,357","23,543,633","5,250,090","5,348","17,878,911","3,343",110
operation endgame,r,,"adam scott, brandon t. jackson, ellen barkin, emilie de ravin, odette annable, rob corddry, ving rhames, zach galifianakis","drama, action, comedy",7/16/2010,fouad mikati,ind,independent,2010,,english,"kevin turen, michael ohoven, sean mckittrick",,Q3 2010,dolby sr,,sam levinson,0,11,0,0,0,0,0,0,0,87
cop out,r,,"adam brody, ana de la reguera, bruce willis, cory fernandez, guillermo diaz, jason lee, juan carlos hernandez, kevin pollak, michelle trachtenberg, rashida jones, sean cullen, seann william scott, tracy morgan",comedy,2/26/2010,kevin smith,wb,warner bros.,2010,,english,"marc e. platt, michael tadross, polly cohen johnsen",marc platt productions,Q1 2010,quad,scope,"mark cullen, robb cullen","44,875,481",144,"3,150","3,150","23,215,299","5,948,012","5,781","18,211,126","3,150",107
paraiso travel,r,,"aldemar correa, alexander forero, ana maria sanchez, ana de la reguera, angelica blandon, german jaramillo, gina hernandez, john leguizamo, luis fernando munera, margarita rosa de francisco, pedro capo, raul castillo, vicky rueda","adventure, drama, romance",7/10/2009,simon brand,phs4,phase4 films,2009,,english,"alex pereira, isaac lee, juan manuel rendon, santiago diaz",,Q3 2009,dolby srd,flat,"jorge franco ramos, juan manuel rendon",0,95,0,0,0,0,0,0,0,110
encounters at the end of the world,g,,,documentary,06/11/2008 (wed),werner herzog,thf,thinkfilm,2008,,english,,,Q2 2008,dolby srd,flat,,"944,933",160,1,39,"33,628",0,"17,730","17,730",1,99
red flag,nr,,"alex karpovsky, keith poulson",comedy,2/22/2013,alex karpovsky,trbca,tribeca film,,,english,"alex karpovsky, michael bowes",,Q1 2013,dolby srd,flat,,0,0,1,1,0,0,0,0,1,85
muck,nr,,"bryce draper, grant alan ouzts, jaclyn swedberg, kane hodder, lachlan buchanan, laura jacobs, lauren francesca, puja mohindra, stephanie danielson",horror,3/13/2015,steve wolsh,anchr/free,anchor bay films/freestyle releasing,2015,,english,,,Q1 2015,dolby srd,flat,steve wolsh,0,4,0,0,0,0,0,0,0,98
"zen of bennett, the",nr,,,documentary,10/24/2012 (wed),unjoo moon,abr,abramorama,2012,,english,"danny bennett, dion beebe, jennifer lebeau",,Q4 2012,,scope,,0,26,0,0,0,0,0,0,0,84
pride and prejudice and zombies,pg13,,"bella heathcote, charles dance, douglas booth, emma greenwell, jack huston, lena headey, lily james, matt smith, sam riley, suki waterhouse","comedy, foreign, horror, romance",2/5/2016,burr steers,sny,sony,2016,,english,"allison shearmur, annette savitch, brian oliver, marc butan, natalie portman, sean mckittrick, tyler thompson","allison shearmur productions, darko entertainment, handsomecharlie films",Q1 2016,dolby srd,scope,burr steers,"10,938,134",116,"2,931","2,931","6,891,197","2,038,355","1,817","5,324,240","2,931",107
titanic (2012),pg13,,"bernard fox, bernard hill, bill paxton, danny nucci, david warner, eric braeden, frances fisher, gloria stuart, jonathan hyde, kate winslet, kathy bates, leonardo dicaprio, lewis abernathy, suzy amis, victor garber","drama, romance",04/04/2012 (wed),james cameron,par,paramount,1999,,english,"james cameron, jon landau",lightstorm entertainment,Q2 2012,,"3d, imax, scope",james cameron,"57,884,114","-4,600","2,674","2,697","24,433,088","4,375,338","6,464","17,285,453","2,674",0
pom wonderful's greatest movie ever sold,pg13,,,documentary,4/22/2011,morgan spurlock,spc,sony pictures classics,2011,,english,"abbie hurewitz, jeremy chilnick, jessica wu, keith calder, morgan spurlock",snoot entertainment,Q2 2011,,,,"638,476",123,18,141,"151,269",0,"6,572","118,294",18,0
igor,pg,,"christian slater, jay leno, jennifer coolidge, john cleese, john cusack, molly shannon, steve buscemi","animation, comedy",9/19/2008,tony leondis,mgm,mgm,2009,,english,john d. eraklis,"exodus film group, metro-goldwyn-mayer (mgm)",Q3 2008,quad,flat,,"19,528,602",123,"2,339","2,341","8,838,789","2,110,360","3,336","7,803,347","2,339",87
"double, the (2011)",pg13,,"chris marquette, martin sheen, richard gere, stana katic, stephen moyer, topher grace","drama, suspense",10/28/2011,michael brandt,image,image entertainment,2012,,english,"andrew deane, derek haas, patrick aiello",,Q4 2011,dolby srd,scope,"derek haas, michael brandt","137,921",95,11,45,"38,367","10,690","2,422","26,639",11,98
random tropical paradise,nr,,"beth littleford, brittany furlan, brooks wheelan, bryan greenberg, joe pantoliano, kyle kinane, spencer grammer",comedy,6/9/2017,sanjeev sirpal,gsky,gunpowder & sky,,,english,"alison flierl, jordan gershowitz, sanjeev sirpal",shabash films,Q2 2017,dolby srd,digital,sanjeev sirpal,0,0,0,0,0,0,0,0,0,0
"synecdoche, new york",r,,"catherine keener, dianne wiest, emily watson, jennifer jason leigh, michelle williams, philip seymour hoffman, samantha morton","comedy, drama",10/24/2008,charlie kaufman,spc,sony pictures classics,2009,,english,"anthony bregman, charlie kaufman, sidney kimmel, spike jonze",sidney kimmel entertainment,Q4 2008,dolby srd,scope,charlie kaufman,"3,083,538",137,9,119,"238,487",0,"19,133","172,194",9,124
smiling through the apocalypse,nr,,"bob rifkind, burt silverman, candice bergen, gore vidal, harlan ellison, harold t.p. hayes, hugh hefner, peter bogdanovich, sam ferber, tom wolfe",documentary,9/12/2014,tom hayes,fsr,first run,2015,,english,,,Q3 2014,dolby sr,digital,,"4,560",263,1,1,"3,776",0,"2,590","2,590",1,98
god bless america,r,,"joel murray, mackenzie brooke smith, tara lynne barr",comedy,5/11/2012,bobcat goldthwait,mag,magnolia pictures,2012,,english,,,Q2 2012,dolby sr,scope,,"122,550",53,14,15,"42,195",0,"1,951","27,308",14,104
rumors of wars,pg13,,"ben davies, eric roberts, jaci velasquez, jason burkey, jennifer cooper, joseph scott anthony, michael joiner, michael ulmer, morgan ayres, shannen fields, t.c. stallings",suspense,5/2/2014,paul tomborello,ind,independent,2014,,english,"brian hilburn, jude s. walko, paul tomborello",,Q2 2014,,,"paul tomborello, phillip abraham",0,192,0,0,0,0,0,0,0,94
four seasons lodge,nr,,,documentary,11/11/2009 (wed),andrew jacobson,fsr,first run,,,english,,,Q4 2009,,,andrew jacobson,"58,334",0,0,2,"11,667",0,"11,667","11,667",1,0
submission,nr,,"addison timlin, janeane garofalo, kyra sedgwick, stanley tucci",drama,3/2/2018,richard levine,pala,paladin,,,english,"jared goldman, wren arthur",,Q1 2018,,flat,richard levine,"3,394",0,1,1,"3,394",0,0,0,1,106
flying: confessions of a free woman,nr,,,documentary,07/04/2007 (wed),jennifer fox,artl,artistic license,2008,,english,"claus ladegaard, jennifer fox",,Q3 2007,dolby srd,flat,,"20,157",496,1,1,0,0,0,0,0,450
ms. 45 (re),nr,,"albert sinkys, darlene stuto, zoe lund","drama, crime, science fiction",12/13/2013,abel ferrara,drft,drafthouse films,,,english,,,Q4 2013,stereo,flat,nicholas st. john,0,0,16,16,0,0,0,0,16,81
